M	#757	2015/12/14	"Lars Kiesow"	"MH-11253, Fixes Engage UI Welcome Page"	lkiesow/matterhorn	t/MH-11253-engage-ui-404	r/2.1.x	"Tobias M Schiebeck (82)"
M	#756	2015/12/14	"Rüdiger Rolf"	"MH-11193 changed volume slider to start with no volume"	opencast-community/matterhorn	t/MH-11193-zero-volume	r/2.1.x	"Tobias M Schiebeck (82)"
M	#755	2015/12/14	"Lars Kiesow"	"MH-11237, Minor fixes to service files"	lkiesow/matterhorn	t/MH-11237-service-files	r/2.1.x	"Edmore Moyo (82)"
M	#754	2015/12/11	"Rüdiger Rolf"	"MH-11089 player fullscreen fix, with several other video …"	opencast-community/matterhorn	t/MH-11089-player-fullscreen	r/2.1.x	"Tobias M Schiebeck (80)"
M	#753	2015/12/11	"Basil Brunner"	"MH-11254 Add translations for Chinese Traditional"	entwinemedia/matterhorn	pr/MH-11254-chinese-traditiona…	r/2.1.x	"Tobias M Schiebeck (85)"
M	#752	2015/12/10	"Tobias M Schiebeck"	"i18n related issues (MH-11109, MH-11126, MH-11130, …"	opencast-community/matterhorn	t/MH-11126-crowdin-update	r/2.1.x	"Lars Kiesow (81)"
M	#751	2015/12/09	"Michael Stypa"	"MH-11235 limit the series title length to 255 characters. …"	doofy/matterhorn	MH-11235-series-title-length-c…	r/2.1.x	"Tobias M Schiebeck (87)"
M	#750	2015/12/08	"Greg Logan"	"MH-10979: Job Load Cleanup"	greg_logan/matterhorn	f/MH-10979-job-load	develop	"Basil Brunner (86)"
M	#749	2015/12/08	"Basil Brunner"	"MH-11252 Rename configuration files to comply with Karaf …"	entwinemedia/matterhorn	pr/MH-11252-move-config-files	develop	"Greg Logan (88)"
M	#748	2015/12/07	"Lars Kiesow"	"MH-11251, Fix Capture Admin Tests"	lkiesow/matterhorn	t/MH-11251-capture-admin-tests	r/2.1.x	"Lukas Rohner (88)"
M	#747	2015/12/07	"Lars Kiesow"	"MH-11250, Use Karaf Tmp for Temporary Files"	lkiesow/matterhorn	t/MH-11250-karaf-tmp	r/2.1.x	"Tobias M Schiebeck (88)"
M	#746	2015/12/07	"Lars Kiesow"	"MH-11249, Replace Apply-ACL with Series WOH Docs"	lkiesow/matterhorn	t/MH-11249-woh-docs	r/2.1.x	"Lukas Rohner (88)"
M	#745	2015/12/07	"Lars Kiesow"	"MH-11237, Opencast System Service Files"	lkiesow/matterhorn	t/MH-11237-service-files	r/2.1.x	"Edmore Moyo (85)"
M	#744	2015/12/04	"James Perrin"	"MH-11247, Fixed, don't assume anonymous role has view …"	opencast-community/matterhorn	t/MH-11247-edit-public-acl	r/1.6.x	
M	#743	2015/12/04	"Lars Kiesow"	"MH-11248, Publish-Engage Workflow Operation Documentation"	lkiesow/matterhorn	t/MH-11248-publish-engage-woh-…	r/2.1.x	"Lukas Rohner (88)"
M	#742	2015/12/04	"Basil Brunner"	"MH-11146 [Bugfix] Make sure feeds servlet gets registered …"	entwinemedia/matterhorn	t/MH-11146-feeds-servlet-not-r…	r/2.1.x	"Tobias M Schiebeck (89)"
M	#741	2015/12/04	"Lars Kiesow"	"MH-11175, MH-11206, MH-11225, MH-11226, MH-11227, User …"	lkiesow/matterhorn	user-endpoint-20	r/2.0.x	"Tobias M Schiebeck (92)"
M	#740	2015/12/04	"Tobias M Schiebeck"	"MH-11126 fix translations"	opencast-community/matterhorn	t/MH-11126-fix-translations	r/2.1.x	"Lars Kiesow (92)"
